pname,pdesc,upc,sku,Price,uom,pack,pcat,pcat1,pcat2,country,region
2015 Cellier des Princes Chateauneuf-du-Pape St Vierge,2015 Cellier des Princes Chateauneuf-du-Pape St Vierge,#3436964131103,#210000000016,45.99,,1,Wine,Red Wine,Blend,,
2018 Bodegas La Vina Castillo de Fuente Blanco,2018 Bodegas La Vina Castillo de Fuente Blanco,#000662123123,#210000000017,8.99,,1,Wine,White Wine,Macabeo,,
2019 Fabre en Provence Rose,2019 Fabre en Provence Rose,#892591000848,#210000000018,14.99,,1,Wine,Rosé,,,
3 Nations Sucker Punch 6pk Cans,3 Nations Sucker Punch 6pk Cans,#860001704938,#210000000019,13.99,,1,Beer,,,,
5 Gum Spearmint Rain,5 Gum Spearmint Rain,#022000005144,#210000000020,2.89,,1,Food,Gum,,,
Austin Eastciders Variety 12pk Cans,Austin Eastciders Variety 12pk Cans,#858604005347,#210000000021,22.24,,1,Cider,,,,
Balcones Texas Single Malt 750ML,Balcones Texas Single Malt 750ML,#852757002031,#210000000022,69.99,,1,Whiskey,,,,
Bishop Cider Crack Berry 12oz 6PK,Bishop Cider Crack Berry 12oz 6PK,#861150000285,#210000000023,10.99,,1,Beer,,,,
Black with cream polka dots gift bag with tissue paper,Black with cream polka dots gift bag with tissue paper,#876718002298,#210000000024,4.69,,1,Gift Wrapping,,,,
Boochcraft Organic Hard Kombucha Ginger Lime 12oz Can,Boochcraft Organic Hard Kombucha Ginger Lime 12oz Can,#850014675059,#210000000025,2.99,,1,Beer,,,,
Boochcraft Organic Hard Kombucha Spiced Pear 12oz Can,Boochcraft Organic Hard Kombucha Spiced Pear 12oz Can,#547468251300,#210000000026,2.99,,1,Beer,,,,
Buffalo Trace 1.75L,Buffalo Trace 1.75L,#080244009212,#210000000027,79.99,,1,Bourbon,Kentucky,,,
Camel Filters 99s,Camel Filters 99s,#012300200592,#210000000028,10.25,,1,Tobacco,,,,
Canada Dry Diet Tonic Water 1L,Canada Dry Diet Tonic Water 1L,#078000149456,#210000000029,3.49,,1,Mixers,Tonic Water,,,
Centr Sparkling CBD Drink 15mg,Centr Sparkling CBD Drink 15mg,#185224000019,#210000000030,6.99,,1,CBD Drinks,,,,
