StoreID,upc,Qty,sku,pack,uom,StoreProductName,StoreDescription,Price,sprice,Start,End,tax,altupc1,altupc2,altupc3,altupc4,altupc5
12319,#3436964131103,0,#210000000016,1,,2015 Cellier des Princes Chateauneuf-du-Pape St Vierge,2015 Cellier des Princes Chateauneuf-du-Pape St Vierge,45.99,0,,,0,,,,,
12319,#000662123123,0,#210000000017,1,,2018 Bodegas La Vina Castillo de Fuente Blanco,2018 Bodegas La Vina Castillo de Fuente Blanco,8.99,0,,,0,,,,,
12319,#892591000848,0,#210000000018,1,,2019 Fabre en Provence Rose,2019 Fabre en Provence Rose,14.99,0,,,0,,,,,
12319,#860001704938,0,#210000000019,1,,3 Nations Sucker Punch 6pk Cans,3 Nations Sucker Punch 6pk Cans,13.99,0,,,0,,,,,
12319,#022000005144,1,#210000000020,1,,5 Gum Spearmint Rain,5 Gum Spearmint Rain,2.89,0,,,0,,,,,
12319,#858604005347,10,#210000000021,1,,Austin Eastciders Variety 12pk Cans,Austin Eastciders Variety 12pk Cans,22.24,0,,,0,,,,,
12319,#852757002031,6,#210000000022,1,,Balcones Texas Single Malt 750ML,Balcones Texas Single Malt 750ML,69.99,0,,,0,,,,,
12319,#861150000285,0,#210000000023,1,,Bishop Cider Crack Berry 12oz 6PK,Bishop Cider Crack Berry 12oz 6PK,10.99,0,,,0,,,,,
12319,#876718002298,0,#210000000024,1,,Black with cream polka dots gift bag with tissue paper,Black with cream polka dots gift bag with tissue paper,4.69,0,,,0,,,,,
12319,#850014675059,0,#210000000025,1,,Boochcraft Organic Hard Kombucha Ginger Lime 12oz Can,Boochcraft Organic Hard Kombucha Ginger Lime 12oz Can,2.99,0,,,0,,,,,
12319,#547468251300,0,#210000000026,1,,Boochcraft Organic Hard Kombucha Spiced Pear 12oz Can,Boochcraft Organic Hard Kombucha Spiced Pear 12oz Can,2.99,0,,,0,,,,,
12319,#080244009212,1,#210000000027,1,,Buffalo Trace 1.75L,Buffalo Trace 1.75L,79.99,0,,,0,,,,,
12319,#012300200592,0,#210000000028,1,,Camel Filters 99s,Camel Filters 99s,10.25,0,,,0,,,,,
12319,#078000149456,0,#210000000029,1,,Canada Dry Diet Tonic Water 1L,Canada Dry Diet Tonic Water 1L,3.49,0,,,0,,,,,
12319,#185224000019,0,#210000000030,1,,Centr Sparkling CBD Drink 15mg,Centr Sparkling CBD Drink 15mg,6.99,0,,,0,,,,,
12319,#722252101808,6,#210000000031,1,,Clif Bar Chocolate Brownie 2.10oz,Clif Bar Chocolate Brownie 2.10oz,2.99,0,,,0,,,,,
12319,#077757912719,0,#210000000032,1,,Cocktail Shaker 3Pc Stainless Steel 20oz,Cocktail Shaker 3Pc Stainless Steel 20oz,12.99,0,,,0,,,,,
12319,#049000005226,0,#210000000033,1,,Coke 1L,Coke 1L,4.29,0,,,0,,,,,
12319,#088586000171,0,#210000000034,1,,Col Solare Cabernet Sauvignon 2014,Col Solare Cabernet Sauvignon 2014,74.99,0,,,0,,,,,
12319,#080175537754,0,#210000000035,1,,Colimoro Montepulciano d'Abruzzo 2009,Colimoro Montepulciano d'Abruzzo 2009,9.99,0,,,0,,,,,
12319,#031439002709,0,#210000000036,1,,Collins Blue Cheese Gourmet Olives 4.75oz,Collins Blue Cheese Gourmet Olives 4.75oz,12.99,0,,,0,,,,,
12319,#031439000460,0,#210000000037,1,,Collins Simple Syrup 12oz,Collins Simple Syrup 12oz,5.99,0,,,0,,,,,
12319,#860000790901,0,#210000000038,1,,Cream Of Kentucky Bourbon 13 Yr 750ML,Cream Of Kentucky Bourbon 13 Yr 750ML,199.99,0,,,0,,,,,
12319,#082000796237,0,#210000000039,1,,Crown Royal Cocktail Apple & Cranberry 4pk Cans,Crown Royal Cocktail Apple & Cranberry 4pk Cans,19.99,0,,,0,,,,,
12319,#082000796251,0,#210000000040,1,,Crown Royal Cocktail Whisky & Cola 4pk Cans,Crown Royal Cocktail Whisky & Cola 4pk Cans,19.99,0,,,0,,,,,
12319,#816751022150,0,#210000000041,1,,Cutwater Strawberry Margarita Popsicle 100mL Single,Cutwater Strawberry Margarita Popsicle 100mL Single,3.99,0,,,0,,,,,
12319,#856065002004,0,#210000000042,1,,Deep Eddy Vodka Sweet Tea 750ML,Deep Eddy Vodka Sweet Tea 750ML,19.99,0,,,0,,,,,
12319,#080686354406,0,#210000000043,1,,Dekuyper Peppermint 100 Proof 750ML,Dekuyper Peppermint 100 Proof 750ML,12.99,0,,,0,,,,,
12319,#04952400,0,#210000000045,1,,Diet Coke 1L,Diet Coke 1L,4.29,0,,,0,,,,,
12319,#028400090896,8,#210000000047,1,,Doritos Nacho Cheese 1oz,Doritos Nacho Cheese 1oz,0.99,0,,,0,,,,,
